Código,Descripción,Unidad,Cantidad,Precio Unitario
MAN037,AMORTIGUADOR AKT TT150-180 - GENESIS SX200 VINI,UNIDAD,3,1661.75
AMO026,AMORTIGUADORES GN125H VINI,PAR,5,833.00
AMO033,AMORTIGUADORES PULSAR 135-DISCOVER VINI,PAR,5,1462.00
Ani088,ANILLOS DE PISTON AG200 A MEDIDA 0.25 VINI,KIT,10,127.50
Ani089,ANILLOS DE PISTON AG200 A MEDIDA 0.50 VINI,KIT,10,127.50
Ani059,ANILLOS DE PISTON AG200-UM200-RAYBAR200 (67MM*15MM) STD VINI,KIT,10,136.00
Ani086,ANILLOS DE PISTON CG150 STD VINI,KIT,20,85.00
Ani060,ANILLOS DE PISTON CG200-WY200 63.5 MM STD VINI,KIT,20,93.50
Ani061,ANILLOS DE PISTON GXT200-DR200 66MM STD VINI,KIT,10,136.00
Ani018,ANILLOS DE PISTON GY200 69MM-198CM STD VINI,KIT,10,106.25
Ani062,ANILLOS DE PISTON PULSAR 135-XCD125-PLATINA125 STD VINI,KIT,20,125.80
Ani066,ANILLOS DE PISTON PULSAR 180 UG3-UG4 STD VINI,KIT,20,136.00
Ani098,ANILLOS DE PISTON PULSAR NS200 STD VINI,KIT,20,136.00
ARB050,ARBOL DE LEVAS AKT CR5 180 VINI,KIT,10,433.50
ARB032,ARBOL DE LEVAS CG-GY200 NO BALANZA COMPLETA VINI,KIT,20,357.00
ARB042,ARBOL DE LEVAS PULSAR 135 VINI,KIT,20,365.50
ARB058,ARBOL DE LEVAS SCOOTER 125-150 VINI,KIT,10,272.00
ARB051,ARBOL DE LEVAS WY200-JH150 MOTOR CADENA BUSHING VINI,KIT,10,331.50
ASI015,ASIENTO CG RACING MODIFIC AZUL VINI,UNIDAD,4,841.50
Asi023,ASIENTO CG RACING MODIFIED VINI,UNIDAD,5,765.00
Asi021,ASIENTO RAYBAR 200-NXR125 BROSS-UM DSR 2026 VINI,UNIDAD,2,697.00
BLN060,BALANCINES DE MOTOR AN125 VINI,UNIDAD,10,119.00
BLN061,BALANCINES DE MOTOR APACHE160-180 VINI,UNIDAD,5,289.00
BLN041,BALANCINES DE MOTOR COMPLETOS HJ125-CG150-CG200 VINI,KIT,15,144.50
BLN042,BALANCINES DE MOTOR WY125-JH150-WY200 VINI,PAR,15,161.50
Bal127,BALINERA 6004 2RS VINI,UNIDAD,50,38.25
Bal147,BALINERA 6005 2RS VINI,UNIDAD,50,49.30
Bal148,BALINERA 6006 2RS VINI,UNIDAD,50,62.90
Bal108,BALINERA 6202 2RS VINI,UNIDAD,60,32.30
Bal1013,BALINERA 6204 2RS VINI,UNIDAD,50,49.30
Bal020,BALINERA 6301 2RS VINI,UNIDAD,60,38.25
Bal100,BALINERA 6302 2RS VINI,UNIDAD,50,40.80
Bal125,BALINERA DE CIGUEÑAL 6205 2RS YBR-XTZ VINI,UNIDAD,10,86.70
Bal083,BALINERA DE CIGUEÑAL 63-28 28MM*68MM VINI,UNIDAD,20,136.00
Bal084,BALINERA DE CIGUEÑAL 63-28 P5 28MM*72MM VINI,UNIDAD,20,165.75
Bal082,BALINERA DE CIGUEÑAL PULSAR135-BOXER-DISC-PLATINA VINI,UNIDAD,20,136.00
Bal149,BALINERA DE MOTOR DE ARRANQUE CG HK1010 VINI,UNIDAD,30,17.85
Bal079,BALINERA DE PROPULSOR CG200 NK 152312 VINI,UNIDAD,30,34.00
BAN005,BANDA DE TRACCION SCOOTER GY6125 835x20x30 VINI,UNIDAD,20,225.25
Bie066,BIELA KIT AKT150TT-NKD125 NXR125 BROSS-XR125L VINI,KIT,10,348.50
Bie043,BIELA KIT GXT200-DR200 VINI,KIT,10,527.00
